Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"USB_DN","OffPage","A02_MCU","2","MAIN_MSP430","U3.64","590","130","3D","{1}"
"USB_DN","OffPage","A01_POWER","1","MAIN_MSP430","R12.2","230","480","4B","{2}"
"12864_CS","OffPage","A02_MCU","2","MAIN_MSP430","U3.3","970","600","1B","{3}"
"12864_CS","OffPage","A03_MODULAR","3","MAIN_MSP430","U10.12","1050","580","2B","{2}"
"12864_RESET","OffPage","A02_MCU","2","MAIN_MSP430","U3.2","970","610","1A","{3}"
"12864_RESET","OffPage","A03_MODULAR","3","MAIN_MSP430","U10.11","1050","590","2B","{2}"
"12864_RS","OffPage","A02_MCU","2","MAIN_MSP430","U3.1","970","620","1A","{3}"
"12864_RS","OffPage","A03_MODULAR","3","MAIN_MSP430","U10.10","1050","600","2B","{2}"
"NRF24L01_MISO","OffPage","A02_MCU","2","MAIN_MSP430","U3.38","970","380","1C","{3}"
"NRF24L01_MISO","OffPage","A03_MODULAR","3","MAIN_MSP430","U9.5","860","400","3C","{2}"
"HMC5883L_SDA","OffPage","A02_MCU","2","MAIN_MSP430","U3.32","970","280","1C","{3}"
"HMC5883L_SDA","OffPage","A03_MODULAR","3","MAIN_MSP430","R30.2,U7.16","120","320","5C","{2}"
"NRF24L01_SCK","OffPage","A02_MCU","2","MAIN_MSP430","U3.39","970","420","1B","{3}"
"NRF24L01_SCK","OffPage","A03_MODULAR","3","MAIN_MSP430","U9.3","860","380","3C","{2}"
"W25Qxx_\CS","OffPage","A02_MCU","2","MAIN_MSP430","U3.6","970","330","1C","{3}"
"W25Qxx_\CS","OffPage","A03_MODULAR","3","MAIN_MSP430","U8.1","460","330","4C","{2}"
"12864_SDA","OffPage","A02_MCU","2","MAIN_MSP430","U3.80","970","630","1A","{3}"
"12864_SDA","OffPage","A03_MODULAR","3","MAIN_MSP430","U10.9","1050","610","2B","{2}"
"12864_SCL","OffPage","A02_MCU","2","MAIN_MSP430","U3.79","970","640","1A","{3}"
"12864_SCL","OffPage","A03_MODULAR","3","MAIN_MSP430","U10.8","1050","620","2B","{2}"
"PCF8563_SDA","OffPage","A02_MCU","2","MAIN_MSP430","U3.30","970","220","1C","{3}"
"PCF8563_SDA","OffPage","A03_MODULAR","3","MAIN_MSP430","R27.2,U6.5","1080","180","2D","{2}"
"PCF8563_\INT","OffPage","A02_MCU","2","MAIN_MSP430","U3.28","970","240","1C","{3}"
"PCF8563_\INT","OffPage","A03_MODULAR","3","MAIN_MSP430","U6.3","880","170","3D","{2}"
"NRF24L01_CSN","OffPage","A02_MCU","2","MAIN_MSP430","U3.36","970","410","1B","{3}"
"NRF24L01_CSN","OffPage","A03_MODULAR","3","MAIN_MSP430","U9.2","860","370","3C","{2}"
"GPS_RXD","OffPage","A02_MCU","2","MAIN_MSP430","U3.51","970","490","1B","{3}"
"GPS_RXD","OffPage","A03_MODULAR","3","MAIN_MSP430","U11.21","530","830","4B","{2}"
