Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"GPS_PPS","OffPage","A03_MODULAR","3","MAIN_MSP430","D8.2,U19.3","210","810","5B","{2}"
"GPS_PPS","OffPage","A02_MCU","2","MAIN_MSP430","U8.55","1420","350","1C","{3}"
"12864_CS","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.12","1230","400","2C","{2}"
"12864_CS","OffPage","A02_MCU","2","MAIN_MSP430","U8.3","1420","450","1C","{3}"
"12864_RESET","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.11","1230","410","2C","{2}"
"12864_RESET","OffPage","A02_MCU","2","MAIN_MSP430","U8.2","1420","460","1C","{3}"
"12864_RS","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.10","1230","420","2C","{2}"
"12864_RS","OffPage","A02_MCU","2","MAIN_MSP430","U8.1","1420","470","1C","{3}"
"NRF24L01_MISO","OffPage","A03_MODULAR","3","MAIN_MSP430","U12.5","1040","220","2D","{2}"
"NRF24L01_MISO","OffPage","A02_MCU","2","MAIN_MSP430","U8.38","1420","290","1C","{3}"
"NRF24L01_SCK","OffPage","A03_MODULAR","3","MAIN_MSP430","U12.3","1040","200","2D","{2}"
"NRF24L01_SCK","OffPage","A02_MCU","2","MAIN_MSP430","U8.39","1420","330","1C","{3}"
"12864_SDA","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.9","1230","430","2C","{2}"
"12864_SDA","OffPage","A02_MCU","2","MAIN_MSP430","U8.80","1420","480","1C","{3}"
"12864_SCL","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.8","1230","440","2C","{2}"
"12864_SCL","OffPage","A02_MCU","2","MAIN_MSP430","U8.79","1420","490","1C","{3}"
"NRF24L01_CSN","OffPage","A03_MODULAR","3","MAIN_MSP430","U12.2","1040","190","2D","{2}"
"NRF24L01_CSN","OffPage","A02_MCU","2","MAIN_MSP430","U8.36","1420","320","1C","{3}"
"12864_ROM_CS","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.4","1230","490","2C","{2}"
"12864_ROM_CS","OffPage","A02_MCU","2","MAIN_MSP430","U8.8","1420","510","1C","{3}"
"12864_ROM_SCK","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.3","1230","500","2C","{2}"
"12864_ROM_SCK","OffPage","A02_MCU","2","MAIN_MSP430","U8.7","1420","520","1C","{3}"
"ADC_BAT","OffPage","A02_MCU","2","MAIN_MSP430","U8.77","1410","70","1D","{1}"
"ADC_BAT","OffPage","A01_POWER","1","MAIN_MSP430","R6.2,R9.1","1010","220","2D","{2}"
"12864_ROM_OUT","OffPage","A03_MODULAR","3","MAIN_MSP430","U15.2","1230","510","2C","{2}"
"12864_ROM_OUT","OffPage","A02_MCU","2","MAIN_MSP430","U8.6","1420","530","1C","{3}"
